zipcode,avg
35126,83220.16666666667
35203,19072.166666666668
35218,11412.833333333334
35221,8641.333333333334
35470,14041.0
35540,5957.0
35594,22255.0
35614,20856.333333333332
35646,13296.666666666666
35677,4665.666666666667
35739,16503.333333333332
35765,9196.0
35810,75324.33333333333
35904,31566.0
35954,28290.5
35963,3382.6666666666665
35973,6212.833333333333
35976,64124.833333333336
35983,10109.833333333334
36009,7853.833333333333
36029,3223.1666666666665
36043,13383.0
36053,4722.666666666667
36092,63827.166666666664
36262,3146.1666666666665
36266,13994.5
36276,5166.0
36505,4777.166666666667
36540,1920.6666666666667
36695,222570.0
36701,63032.5
36720,1323.1666666666667
36804,53306.0
36852,5850.333333333333
36871,3573.0
36907,3966.3333333333335
36916,1763.5
99505,15183.166666666666
99567,54392.833333333336
99824,13886.833333333334
99827,11692.0
85028,163056.33333333334
85042,124312.0
85137,6564.0
85259,269204.8333333333
85264,6535.166666666667
85297,166763.5
85353,93439.83333333333
85392,132719.5
85541,70240.0
85747,109716.5
86005,68136.0
86046,17359.666666666668
86303,83579.33333333333
86406,83427.83333333333
86436,3647.1666666666665
71635,36953.333333333336
71663,4410.333333333333
71827,1865.3333333333333
71845,4738.333333333333
71853,1102.3333333333333
71933,3301.8333333333335
71935,1321.3333333333333
71957,8265.333333333334
71973,2871.0
72040,7820.5
72051,1357.1666666666667
72060,1870.1666666666667
72072,1611.5
72087,5075.333333333333
72103,39762.333333333336
72106,18432.166666666668
72110,36320.333333333336
72121,8063.5
72127,6662.666666666667
72137,7323.5
72150,42795.5
72168,788.8333333333334
72211,128188.5
72372,4953.666666666667
72410,879.8333333333334
72458,1558.8333333333333
72533,737.8333333333334
72631,14179.333333333334
72655,773.5
72751,22404.166666666668
72840,4526.333333333333
72916,49602.0
72921,42641.333333333336
72934,1543.5
72938,2755.1666666666665
90036,317531.3333333333
90047,137446.0
90220,111644.0
90230,201107.66666666666
90232,112710.83333333333
90254,264486.3333333333
90601,143439.16666666666
90806,109907.83333333333
91384,124746.5
91501,108544.5
91737,159015.0
91744,203392.5
91784,206663.33333333334
91790,157133.5
91902,109990.33333333333
92004,10367.333333333334
92020,206565.83333333334
92086,3938.1666666666665
92117,267717.8333333333
92240,70386.16666666667
92241,13874.0
92242,2251.5
92337,115075.66666666667
92555,136684.33333333334
92627,274617.3333333333
92677,592630.6666666666
92843,113214.33333333333
92868,84145.5
93063,302483.1666666667
93219,14950.166666666666
93239,2857.8333333333335
93286,20300.666666666668
93306,223139.66666666666
93309,223563.83333333334
93311,278945.3333333333
93465,62852.833333333336
93650,9506.333333333334
93653,3506.3333333333335
93667,8987.833333333334
93706,64552.5
93906,181281.16666666666
93953,76108.83333333333
94025,893802.5
94403,439612.0
94521,258572.83333333334
94541,235484.5
94550,409965.3333333333
94553,302019.5
94560,228830.83333333334
94601,118565.83333333333
94903,266026.0
94922,2355.0
94925,119326.33333333333
94965,153620.33333333334
95004,21666.333333333332
95020,310995.6666666667
95045,20320.666666666668
95066,125276.0
95073,79181.16666666667
95139,47080.833333333336
95203,33675.666666666664
95247,21873.666666666668
95303,5227.833333333333
95356,167166.16666666666
95379,13850.833333333334
95427,1714.5
95492,159475.16666666666
95526,967.8333333333334
95528,3330.3333333333335
95548,1833.8333333333333
95558,847.1666666666666
95666,18721.333333333332
95687,277792.6666666667
95713,34683.5
95776,91139.0
95841,58293.166666666664
95925,820.6666666666666
95965,42891.333333333336
96094,20304.0
96117,1061.0
80026,187041.0
80110,76301.0
80111,384126.0
80117,13071.333333333334
80121,240169.33333333334
80127,348890.5
80222,109631.0
80227,189566.33333333334
80232,95667.66666666667
80233,179974.16666666666
80234,142461.16666666666
80241,165369.16666666666
80260,82439.16666666667
80302,206771.0
80457,4361.5
80465,121998.16666666667
80467,8398.833333333334
80512,11833.833333333334
80517,58158.166666666664
80540,32274.166666666668
80612,2036.3333333333333
80615,45010.166666666664
80644,13483.666666666666
80650,5271.833333333333
80802,942.8333333333334
80831,117432.66666666667
80832,2560.8333333333335
80835,2971.0
80840,6614.333333333333
80915,68201.66666666667
80927,9904.333333333334
81041,1578.5
81090,3382.6666666666665
81143,997.3333333333334
81210,1133.1666666666667
81415,5000.833333333333
81521,65150.0
6031,7705.833333333333
6033,285418.6666666667
6051,64295.5
6062,87179.83333333333
6118,109516.33333333333
6281,42185.166666666664
6320,81493.0
6353,1633.5
6355,101979.5
6377,11862.833333333334
6410,229160.83333333334
6424,81898.33333333333
6442,19641.833333333332
6455,22724.833333333332
6516,202997.66666666666
6710,21540.5
6782,12458.333333333334
6824,464604.0
6878,296020.1666666667
19707,165376.33333333334
19901,113909.33333333333
19953,15244.5
20006,17706.333333333332
20017,91144.5
32094,8654.0
32102,6488.0
32180,9196.166666666666
32206,31761.0
32244,177368.5
32256,274826.0
32324,10640.166666666666
32327,80803.33333333333
32347,24152.333333333332
32433,34937.666666666664
32435,20213.833333333332
32439,31676.0
32456,29216.166666666668
32466,17405.333333333332
32508,5731.166666666667
32570,95810.66666666667
32603,6964.833333333333
32696,34695.0
32726,62020.0
32751,153471.83333333334
32767,5132.5
32773,82017.33333333333
32804,145783.66666666666
32820,38873.666666666664
32937,186770.33333333334
32951,78051.83333333333
33019,145137.33333333334
33067,246441.16666666666
33134,350699.3333333333
33179,153506.16666666666
33181,86306.33333333333
33418,477491.5
33431,232063.66666666666
33440,61374.166666666664
33510,97764.83333333333
33559,60885.833333333336
33566,79029.33333333333
33594,133917.33333333334
33615,156624.0
33626,224533.0
33762,55297.166666666664
33785,48481.666666666664
33823,91137.83333333333
33825,50762.5
33881,85869.33333333333
33957,150802.83333333334
33983,54827.5
34217,37149.166666666664
34433,18932.166666666668
34465,55341.666666666664
34480,92999.83333333333
34604,33353.5
34606,72625.16666666667
34637,32564.833333333332
34652,76318.0
34772,83889.33333333333
34953,198960.0
34990,239249.66666666666
30008,78240.16666666667
30013,87611.83333333333
30054,44057.333333333336
30080,294222.6666666667
30088,67939.83333333333
30102,146560.5
30126,196313.0
30134,125718.66666666667
30135,245317.0
30168,58677.833333333336
30173,19730.833333333332
30188,292796.0
30204,31273.333333333332
30222,11123.833333333334
30236,141021.66666666666
30241,70300.66666666667
30251,7160.666666666667
30256,8417.5
30294,126344.16666666667
30342,369848.8333333333
30350,282013.0
30363,23078.5
30470,2348.3333333333335
30471,9069.833333333334
30507,67866.16666666667
30521,13493.5
30540,52199.333333333336
30601,35179.666666666664
30606,194589.5
30660,2170.6666666666665
30757,4685.5
30905,10625.0
31006,10716.5
31023,33467.0
31031,15946.666666666666
31046,14625.666666666666
31049,4085.1666666666665
31201,17465.833333333332
31305,13819.166666666666
31408,21847.166666666668
31630,939.8333333333334
31638,2049.0
31650,6598.166666666667
31712,2663.5
31798,3338.6666666666665
31808,44962.5
31823,2400.6666666666665
31903,31010.666666666668
31909,140403.5
39841,2292.1666666666665
39897,9305.666666666666
96778,27266.5
83204,59272.5
